Membership No  Date Joined  Active  
    12739      2019-9-22    no    
    79271      2020-1-1     yes   
    63895      2020-1-5     no    
    10519      2015-5-6     yes   
    30342      2015-3-6     no    
    30244      2019-1-6     no    
    15605      2015-4-3     yes   
    79874      2015-12-2    no    
    97180      2015-2-12    no    
    93374      2018-3-16    yes   
    47601      2017-5-23    yes   
    34937      2018-1-4     no    
    87725      2018-3-10    yes   
    32506      2018-7-6     yes   
    33969      2020-11-4    yes   
    67416      2016-2-23    yes   
    93608      2019-10-23   yes   
    80592      2018-2-3     no    
    78999      2020-10-5    yes   
    62944      2016-9-16    no    
